Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
03/03/2023,"16,583","11,200",269,"19,885","5,013",77
10/08/2021,"16,088","9,447",300,"17,588","5,489",71
21/09/2019,"4,555","5,740",0,"7,260",0,0
23/12/2023,"3,836","4,871",0,"6,909",0,19
15/08/2020,"2,083","3,221",0,"4,659",0,16
22/11/2021,"10,505","5,865",168,"11,053","4,531",33
23/08/2022,"12,873","8,272",222,"14,776","4,148",52
10/07/2023,"10,806","8,737",302,"15,269",0,60
17/09/2024,"17,080","11,374",349,"20,551","4,878",80
18/03/2020,"16,175","8,571",328,"20,475","5,959",0
21/07/2022,"12,698","7,583",188,"14,168","4,564",61
21/01/2022,"6,639","4,430",62,"7,920",0,43
04/03/2022,"13,944","8,003",170,"14,636","5,217",115
10/07/2021,"2,855","4,626",0,"6,007",0,21
15/02/2020,"3,686","5,603",0,"8,089",0,0
27/05/2023,"3,704","5,533",0,"7,544",0,12
10/12/2021,"10,141","6,917",141,"11,752","1,883",41
03/06/2023,"3,689","5,536",0,"7,573",4,21
05/09/2022,"13,358","8,597",246,"14,853","4,479",81
20/06/2023,"14,437","10,093",376,"17,790","4,252",92
04/12/2023,"14,820","10,167",354,"17,748","3,425",51
26/09/2019,"19,068","12,320",455,"25,835","5,310",0
18/01/2022,"5,810","3,703",84,"6,896",0,37
27/10/2021,"7,748","3,515",73,"7,175","2,000",34
07/05/2022,"2,957","4,761",0,"6,214",0,18
31/12/2022,"2,897","4,459",0,"5,731",0,22
04/04/2023,"16,922","10,937",340,"19,485","5,398",79
27/12/2020,"1,759","2,932",0,"3,913",0,15
04/08/2023,"16,092","11,230",255,"19,419","4,695",78
01/10/2021,"2,593","1,101",19,"2,575",0,21
14/09/2023,"16,073","10,802",317,"19,564","4,777",106
29/09/2021,"2,086",878,20,"2,167",0,22
06/06/2021,"2,077","3,303",0,"4,665",0,20
30/01/2023,"10,872","8,496",226,"14,615",483,48
24/10/2019,"19,204","12,628",450,"26,299","5,688",0
24/01/2022,"6,584","4,094",113,"7,577",0,45
19/09/2021,570,549,0,"1,014",0,13
05/06/2020,"9,189","4,962",95,"10,034","4,688",0
18/04/2024,"13,905","10,973",361,"19,198",0,77
